item,itemLabel
http://www.wikidata.org/entity/Q2334637,Zeisel number
http://www.wikidata.org/entity/Q2623827,self number
http://www.wikidata.org/entity/Q2708644,cabtaxi number
http://www.wikidata.org/entity/Q18450908,Q18450908
http://www.wikidata.org/entity/Q170043,perfect number
http://www.wikidata.org/entity/Q223722,abundant number
http://www.wikidata.org/entity/Q477645,Skewes' number
http://www.wikidata.org/entity/Q816063,Bell number
http://www.wikidata.org/entity/Q1091176,Smarandache–Wellin number
http://www.wikidata.org/entity/Q1577873,Equidigital number
http://www.wikidata.org/entity/Q1778247,codimension
http://www.wikidata.org/entity/Q2503280,sequence of Lucas numbers
http://www.wikidata.org/entity/Q375355,harshad number
http://www.wikidata.org/entity/Q819137,Carol number
http://www.wikidata.org/entity/Q849699,Miller index
http://www.wikidata.org/entity/Q947015,Euler number
http://www.wikidata.org/entity/Q1200532,repdigit
http://www.wikidata.org/entity/Q1755380,rough number
http://www.wikidata.org/entity/Q2313686,automorphic number
http://www.wikidata.org/entity/Q2417889,unlucky number
http://www.wikidata.org/entity/Q2594149,word length
http://www.wikidata.org/entity/Q2654835,probable prime
http://www.wikidata.org/entity/Q3191171,powerful number
http://www.wikidata.org/entity/Q80918,Stirling number
http://www.wikidata.org/entity/Q207264,Fermat number
http://www.wikidata.org/entity/Q467511,deficient number
http://www.wikidata.org/entity/Q599093,Perrin number
http://www.wikidata.org/entity/Q854503,Kaprekar's constant
http://www.wikidata.org/entity/Q904395,Blum integer
http://www.wikidata.org/entity/Q951293,Woodall number
http://www.wikidata.org/entity/Q1122670,Kynea number
http://www.wikidata.org/entity/Q1418543,Giuga number
http://www.wikidata.org/entity/Q1529876,Smooth number
http://www.wikidata.org/entity/Q2068748,Wedderburn–Etherington number
http://www.wikidata.org/entity/Q3342996,lucky numbers of Euler
http://www.wikidata.org/entity/Q47371099,non-positive integer
http://www.wikidata.org/entity/Q16424100,Ramsey number
http://www.wikidata.org/entity/Q7310789,relative dimension
http://www.wikidata.org/entity/Q41792217,number of objects
http://www.wikidata.org/entity/Q532389,Cullen number
http://www.wikidata.org/entity/Q547430,Sierpinski number
http://www.wikidata.org/entity/Q2063121,refactorable number
http://www.wikidata.org/entity/Q13366129,odd number
http://www.wikidata.org/entity/Q145134,strictly non-palindromic number
http://www.wikidata.org/entity/Q430033,Størmer number
http://www.wikidata.org/entity/Q507937,Lucas–Carmichael number
http://www.wikidata.org/entity/Q754831,palindromic number
http://www.wikidata.org/entity/Q1373849,Eulerian number
http://www.wikidata.org/entity/Q1478274,Kaprekar number
http://www.wikidata.org/entity/Q1526045,almost perfect number
http://www.wikidata.org/entity/Q1900907,Markov number
http://www.wikidata.org/entity/Q2306943,vampire number
http://www.wikidata.org/entity/Q2370031,unitary perfect number
http://www.wikidata.org/entity/Q11606,magic number
http://www.wikidata.org/entity/Q28920052,non-negative integer
http://www.wikidata.org/entity/Q121225113,product of two integers
http://www.wikidata.org/entity/Q117927,amicable numbers
http://www.wikidata.org/entity/Q47577,Fibonacci number
http://www.wikidata.org/entity/Q325978,congruent number
http://www.wikidata.org/entity/Q378067,Keith number
http://www.wikidata.org/entity/Q638185,sphenic number
http://www.wikidata.org/entity/Q901147,partial charge
http://www.wikidata.org/entity/Q965294,Thabit number
http://www.wikidata.org/entity/Q990533,Erdős–Woods number
http://www.wikidata.org/entity/Q1193504,untouchable number
http://www.wikidata.org/entity/Q1386491,Pell number
http://www.wikidata.org/entity/Q13366104,even number
http://www.wikidata.org/entity/Q13407133,harmonic number
http://www.wikidata.org/entity/Q30027695,0 number class
http://www.wikidata.org/entity/Q2067166,pseudoperfect number
http://www.wikidata.org/entity/Q890987,sublime number
http://www.wikidata.org/entity/Q1755492,unusual number
http://www.wikidata.org/entity/Q1826416,regular number
http://www.wikidata.org/entity/Q50708,divisor
http://www.wikidata.org/entity/Q4914491,binomial number
http://www.wikidata.org/entity/Q18450843,heptanacci number
http://www.wikidata.org/entity/Q114965488,nonzero integer
http://www.wikidata.org/entity/Q105488155,order of reflexion
http://www.wikidata.org/entity/Q207455,chain rule
http://www.wikidata.org/entity/Q1401935,K-permutation
http://www.wikidata.org/entity/Q202805,combination
http://www.wikidata.org/entity/Q107083970,minimal upper bound
http://www.wikidata.org/entity/Q862761,interior
http://www.wikidata.org/entity/Q2666112,transposition
http://www.wikidata.org/entity/Q5222243,Darboux derivative
http://www.wikidata.org/entity/Q5454716,Fishburn–Shepp inequality
http://www.wikidata.org/entity/Q57486,fundamental theorem of curves
http://www.wikidata.org/entity/Q161519,permutation
http://www.wikidata.org/entity/Q3014744,condensation point
http://www.wikidata.org/entity/Q12352263,Zaslavskii map
http://www.wikidata.org/entity/Q5051208,Catalan's triangle
http://www.wikidata.org/entity/Q18029547,collection
http://www.wikidata.org/entity/Q5275281,Difference set
http://www.wikidata.org/entity/Q226843,Möbius strip
http://www.wikidata.org/entity/Q320357,closed set
http://www.wikidata.org/entity/Q1058314,diffeomorphism
http://www.wikidata.org/entity/Q625948,topological property
http://www.wikidata.org/entity/Q5147873,Colombeau algebra
http://www.wikidata.org/entity/Q6029835,Infinite broom
http://www.wikidata.org/entity/Q1052761,local homeomorphism
http://www.wikidata.org/entity/Q6496545,Latin rectangle
http://www.wikidata.org/entity/Q7857666,Twelvefold way
http://www.wikidata.org/entity/Q29413888,chaotic system
http://www.wikidata.org/entity/Q80091,integral
http://www.wikidata.org/entity/Q134237,square root
http://www.wikidata.org/entity/Q16690243,open interval
http://www.wikidata.org/entity/Q1787424,chaos
http://www.wikidata.org/entity/Q1953457,De Bruijn sequence
http://www.wikidata.org/entity/Q2141657,Sprouts
http://www.wikidata.org/entity/Q4392123,Fσ set
http://www.wikidata.org/entity/Q4692965,Agmon's inequality
http://www.wikidata.org/entity/Q5900509,Hopf invariant
http://www.wikidata.org/entity/Q220680,Banach fixed-point theorem
http://www.wikidata.org/entity/Q357192,Holland's schema theorem
http://www.wikidata.org/entity/Q1371213,affine connection
http://www.wikidata.org/entity/Q1622692,Hodge star operator
http://www.wikidata.org/entity/Q22952648,cardinality of the continuum
http://www.wikidata.org/entity/Q117715071,standard model
http://www.wikidata.org/entity/Q4200951,pullback bundle
http://www.wikidata.org/entity/Q2687556,Browder fixed point theorem
http://www.wikidata.org/entity/Q213363,open set
http://www.wikidata.org/entity/Q6965520,Narayana number
http://www.wikidata.org/entity/Q132335,Pochhammer symbol
http://www.wikidata.org/entity/Q730384,Galois group
http://www.wikidata.org/entity/Q766522,fundamental theorem of Galois theory
http://www.wikidata.org/entity/Q22952656,beth two
http://www.wikidata.org/entity/Q272404,finite set
http://www.wikidata.org/entity/Q557781,horseshoe map
http://www.wikidata.org/entity/Q657482,Abel–Ruffini theorem
http://www.wikidata.org/entity/Q679367,Latin square
http://www.wikidata.org/entity/Q122897563,Alon-Tarsi Conjecture
http://www.wikidata.org/entity/Q2276721,local diffeomorphism
http://www.wikidata.org/entity/Q3509197,Anosov flow
http://www.wikidata.org/entity/Q17086178,Ingleton's inequality
http://www.wikidata.org/entity/Q89241524,topological direction
http://www.wikidata.org/entity/Q3850844,combinatorial principle
http://www.wikidata.org/entity/Q5172855,correlation integral
http://www.wikidata.org/entity/Q7291978,random minimal spanning tree
http://www.wikidata.org/entity/Q15847168,permutation involution
http://www.wikidata.org/entity/Q115489271,proper class
http://www.wikidata.org/entity/Q41237,rational function
http://www.wikidata.org/entity/Q66707394,countable set
http://www.wikidata.org/entity/Q114290211,permutation cycle
http://www.wikidata.org/entity/Q189569,basis
http://www.wikidata.org/entity/Q1497621,Q1497621
http://www.wikidata.org/entity/Q1757151,Krylov subspace
http://www.wikidata.org/entity/Q4298796,Q4298796
http://www.wikidata.org/entity/Q4455059,Q4455059
http://www.wikidata.org/entity/Q4491943,Q4491943
http://www.wikidata.org/entity/Q4491948,Napier's analogies
http://www.wikidata.org/entity/Q5721625,Hamel basis
http://www.wikidata.org/entity/Q7111912,outcome
http://www.wikidata.org/entity/Q45715,complete graph
http://www.wikidata.org/entity/Q178546,determinant
http://www.wikidata.org/entity/Q812529,Bayesian game
http://www.wikidata.org/entity/Q125977,vector space
http://www.wikidata.org/entity/Q1751918,spherical triangle
http://www.wikidata.org/entity/Q1511081,fair division problem
http://www.wikidata.org/entity/Q78859089,Spherical law of cotangens
http://www.wikidata.org/entity/Q726210,normed vector space
http://www.wikidata.org/entity/Q1953800,Shannon number
http://www.wikidata.org/entity/Q2264115,matrix addition
http://www.wikidata.org/entity/Q3553768,eigenvalue
http://www.wikidata.org/entity/Q12524,knight's tour
http://www.wikidata.org/entity/Q6671695,lonely runner conjecture
http://www.wikidata.org/entity/Q18206991,fair cake-cutting problem
http://www.wikidata.org/entity/Q854591,Parrondo's paradox
http://www.wikidata.org/entity/Q1393796,quotient space
http://www.wikidata.org/entity/Q2915729,matrix ring
http://www.wikidata.org/entity/Q91672132,quasinormed space
http://www.wikidata.org/entity/Q7069004,Nullity theorem
http://www.wikidata.org/entity/Q307169,SL2(R)
http://www.wikidata.org/entity/Q1289248,scalar
http://www.wikidata.org/entity/Q1482183,transformation matrix
http://www.wikidata.org/entity/Q1546627,player strategy
http://www.wikidata.org/entity/Q15936047,fundamental system of solutions
http://www.wikidata.org/entity/Q80729,splay tree
http://www.wikidata.org/entity/Q4491945,Delambre analogies
http://www.wikidata.org/entity/Q44337,matrix
http://www.wikidata.org/entity/Q974286,quasinormable space
http://www.wikidata.org/entity/Q15079592,strategic game
http://www.wikidata.org/entity/Q5348905,eigengap
http://www.wikidata.org/entity/Q54837,Semantic Web
http://www.wikidata.org/entity/Q121146039,seminormable space
http://www.wikidata.org/entity/Q207643,linear map
http://www.wikidata.org/entity/Q41159,rhombus
http://www.wikidata.org/entity/Q929302,dimension of a vector space
http://www.wikidata.org/entity/Q1767080,diagonalizable matrix
http://www.wikidata.org/entity/Q123423860,payoff matrix
http://www.wikidata.org/entity/Q5105004,chore division problem
http://www.wikidata.org/entity/Q5251123,defective matrix
http://www.wikidata.org/entity/Q12142,tesseract
http://www.wikidata.org/entity/Q32918,three utilities problem
http://www.wikidata.org/entity/Q2996944,spherical law of cosines
http://www.wikidata.org/entity/Q45286,Cauchy–Binet formula
http://www.wikidata.org/entity/Q6678209,game value
http://www.wikidata.org/entity/Q7095707,open-loop model
http://www.wikidata.org/entity/Q209,rectangle
http://www.wikidata.org/entity/Q17097842,cyclic subspace
http://www.wikidata.org/entity/Q63793693,seminormed space
http://www.wikidata.org/entity/Q18206215,corank
http://www.wikidata.org/entity/Q106323967,semi-simplicity
http://www.wikidata.org/entity/Q141488,graph
http://www.wikidata.org/entity/Q383444,degree
http://www.wikidata.org/entity/Q387015,trie
http://www.wikidata.org/entity/Q512604,loop
http://www.wikidata.org/entity/Q450098,most-perfect magic square
http://www.wikidata.org/entity/Q493980,quiver
http://www.wikidata.org/entity/Q510153,Blanuša snark
http://www.wikidata.org/entity/Q621673,search tree
http://www.wikidata.org/entity/Q720459,Turán graph
http://www.wikidata.org/entity/Q722659,graph property
http://www.wikidata.org/entity/Q1156047,rope
http://www.wikidata.org/entity/Q1071058,scale-free network
http://www.wikidata.org/entity/Q1087609,chromatic polynomial
http://www.wikidata.org/entity/Q272735,tree
http://www.wikidata.org/entity/Q959831,girth
http://www.wikidata.org/entity/Q1128435,Hadwiger conjecture
http://www.wikidata.org/entity/Q263555,lozenge
http://www.wikidata.org/entity/Q367494,Clebsch graph
http://www.wikidata.org/entity/Q462095,tree decomposition
http://www.wikidata.org/entity/Q841007,cage
http://www.wikidata.org/entity/Q768716,Andrásfai graph
http://www.wikidata.org/entity/Q898680,clustering coefficient
http://www.wikidata.org/entity/Q910404,random graph
http://www.wikidata.org/entity/Q977674,Mycielskian
http://www.wikidata.org/entity/Q1065144,matching
http://www.wikidata.org/entity/Q924286,transport network
http://www.wikidata.org/entity/Q213723,hypercube
http://www.wikidata.org/entity/Q220997,vertex-transitive graph
http://www.wikidata.org/entity/Q225973,Ore's theorem
http://www.wikidata.org/entity/Q230655,connected graph
http://www.wikidata.org/entity/Q245955,self-balancing binary search tree
http://www.wikidata.org/entity/Q273037,Hamiltonian path
http://www.wikidata.org/entity/Q358078,road network
http://www.wikidata.org/entity/Q627595,leftist tree
http://www.wikidata.org/entity/Q266775,crossing number
http://www.wikidata.org/entity/Q768387,5-cube
http://www.wikidata.org/entity/Q803847,binary heap
http://www.wikidata.org/entity/Q831672,spanning tree
http://www.wikidata.org/entity/Q939219,Brouwer–Haemers graph
http://www.wikidata.org/entity/Q1195339,directed acyclic graph
http://www.wikidata.org/entity/Q837902,Kuratowski's theorem
http://www.wikidata.org/entity/Q174733,bipartite graph
http://www.wikidata.org/entity/Q303100,graph isomorphism
http://www.wikidata.org/entity/Q624580,Eulerian path
http://www.wikidata.org/entity/Q675752,Balaban 10-cage
http://www.wikidata.org/entity/Q677051,B-tree
http://www.wikidata.org/entity/Q622506,cycle graph
http://www.wikidata.org/entity/Q1012802,cycle graph
http://www.wikidata.org/entity/Q1153612,biregular graph
http://www.wikidata.org/entity/Q1187620,perfect graph
http://www.wikidata.org/entity/Q181658,parallelepiped
http://www.wikidata.org/entity/Q260174,Hall–Janko graph
http://www.wikidata.org/entity/Q262959,rectangular cuboid
http://www.wikidata.org/entity/Q536640,Hall's marriage theorem
http://www.wikidata.org/entity/Q599079,Stern–Brocot tree
http://www.wikidata.org/entity/Q859174,Cayley graph
http://www.wikidata.org/entity/Q864155,binary decision diagram
http://www.wikidata.org/entity/Q948887,wheel graph
http://www.wikidata.org/entity/Q958394,hypercube graph
http://www.wikidata.org/entity/Q1117691,8-cube
http://www.wikidata.org/entity/Q169233,2–3–4 tree
http://www.wikidata.org/entity/Q169338,2–3 tree
http://www.wikidata.org/entity/Q245673,Colin de Verdière graph invariant
http://www.wikidata.org/entity/Q623818,binary search tree
http://www.wikidata.org/entity/Q692823,strongly regular graph
http://www.wikidata.org/entity/Q761631,clique
http://www.wikidata.org/entity/Q826467,regular graph
http://www.wikidata.org/entity/Q834981,graph automorphism
http://www.wikidata.org/entity/Q902252,complement graph
http://www.wikidata.org/entity/Q970994,Bidiakis cube
http://www.wikidata.org/entity/Q1199501,technology tree
http://www.wikidata.org/entity/Q1205074,symmetric graph
http://www.wikidata.org/entity/Q724168,Petri net
http://www.wikidata.org/entity/Q169451,Coxeter–Dynkin diagram
http://www.wikidata.org/entity/Q192089,magic square
http://www.wikidata.org/entity/Q228182,random path
http://www.wikidata.org/entity/Q240464,minimum spanning tree
